id,listing_url,name,picture_url,host_since,neighbourhood,latitude,longitude,bedrooms,square_feet,price,number_of_reviews,review_scores_rating
10710892,https://www.airbnb.com/rooms/10710892,Sunny Modern Mission Dolores Condo,https://a0.muscache.com/im/pictures/b341efc7-6c98-4099-be63-eddcd8d31ec2.jpg?aki_policy=large,2010-07-16,Mission District,37.75857822017914,-122.4222351116977,1,,$215.00,3,93
16178751,https://www.airbnb.com/rooms/16178751,"Private, Quiet Apartment in Heart of the Mission",https://a0.muscache.com/im/pictures/39b84af5-3eed-4308-9b6d-070a9a7265f3.jpg?aki_policy=large,2012-09-04,Mission District,37.7591334594544,-122.41967552985781,1,,$185.00,5,100
15097007,https://www.airbnb.com/rooms/15097007,Room in a lovely flat,https://a0.muscache.com/im/pictures/43742564-62c2-45d2-b024-c6cabf962163.jpg?aki_policy=large,2013-09-20,Mission District,37.75746793053055,-122.41259473911285,1,,$350.00,0,
16351934,https://www.airbnb.com/rooms/16351934,Queen bedroom in gorgeous bright Dolores luxury,https://a0.muscache.com/im/pictures/6d009bd8-1aaf-48cb-bb9b-e4bc2887a7dc.jpg?aki_policy=large,2013-09-30,Mission District,37.761718866629494,-122.42348307335551,1,,$175.00,10,98
8564563,https://www.airbnb.com/rooms/8564563,Comfy Classic Victorian - 2 BR,https://a0.muscache.com/im/pictures/e95baf67-9664-4af3-96c3-490f3c734b85.jpg?aki_policy=large,2011-08-09,Mission District,37.76867194338203,-122.41785764787078,2,,$165.00,22,96
6852699,https://www.airbnb.com/rooms/6852699,Spacious 1 BDR apt by Dolores Park,https://a0.muscache.com/im/pictures/86951673/9cfcf42b_original.jpg?aki_policy=large,2012-10-07,Mission District,37.7637954837298,-122.42544795181182,1,,$149.00,23,99
6336315,https://www.airbnb.com/rooms/6336315,Edwardian Condo Centrally Located,https://a0.muscache.com/im/pictures/79239385/d5234e1d_original.jpg?aki_policy=large,2013-04-08,SoMa,37.77017333437953,-122.42157158108384,1,,$240.00,0,
2074584,https://www.airbnb.com/rooms/2074584,Clean and Modern Mission Cottage,https://a0.muscache.com/im/pictures/30040049/8d366ca0_original.jpg?aki_policy=large,2010-11-27,Mission District,37.760252514271706,-122.4166306601792,0,,$206.00,123,96
765739,https://www.airbnb.com/rooms/765739,Beautiful Mission Victorian Home,https://a0.muscache.com/im/pictures/27761316/a79f8787_original.jpg?aki_policy=large,2012-11-02,Mission District,37.75104087180397,-122.41866580669888,5,,$575.00,7,100
9525911,https://www.airbnb.com/rooms/9525911,Private room in top Edwardian Flat,https://a0.muscache.com/im/pictures/7ebf459a-8327-4a1f-8a0e-f309540f2acd.jpg?aki_policy=large,2014-01-12,Mission District,37.767645281454286,-122.4239504898658,1,,$120.00,14,100
11650390,https://www.airbnb.com/rooms/11650390,Heart of Mission District - Queen,https://a0.muscache.com/im/pictures/aa72581a-3228-4fd5-b0ca-8adfe1116d69.jpg?aki_policy=large,2016-03-06,Mission District,37.751226944487776,-122.4183757591578,1,,$74.00,1,100
14773204,https://www.airbnb.com/rooms/14773204,Luxury Streetside Apt Near Public Transportation,https://a0.muscache.com/im/pictures/79168216-0086-449d-8ebd-73bc726beaa3.jpg?aki_policy=large,2016-03-07,,37.76667537769789,-122.41703248608896,1,,$105.00,36,94
5470034,https://www.airbnb.com/rooms/5470034,Small Room steps from Valencia,https://a0.muscache.com/im/pictures/68296718/e0460ea9_original.jpg?aki_policy=large,2013-10-25,Mission District,37.76054445686175,-122.42167598287213,1,,$59.00,110,83
1814061,https://www.airbnb.com/rooms/1814061,Modern luxury; Noe Valley pvt flat,https://a0.muscache.com/im/pictures/58742127/0842daf7_original.jpg?aki_policy=large,2011-07-14,Noe Valley,37.75110161115565,-122.4241432414099,1,,$150.00,6,100
2046807,https://www.airbnb.com/rooms/2046807,Charming Private Studio in Mission,https://a0.muscache.com/im/pictures/36785590/6350714f_original.jpg?aki_policy=large,2013-09-17,Mission District,37.76045876082791,-122.41904380864376,0,,$149.00,78,89
486950,https://www.airbnb.com/rooms/486950,Large room in Slick Victorian ,https://a0.muscache.com/im/pictures/5788546/9ca83852_original.jpg?aki_policy=large,2012-05-18,Mission District,37.75311614759037,-122.4086314854194,1,1400,$100.00,0,
592883,https://www.airbnb.com/rooms/592883,BEDROOM-f (July 31--->),https://a0.muscache.com/im/pictures/33d7852e-a016-4e1b-99f2-cda2acead885.jpg?aki_policy=large,2012-02-19,Mission District,37.75731078288042,-122.40953726667053,1,,$75.00,19,95
9350676,https://www.airbnb.com/rooms/9350676,Mission District Artsy 1 BDRM,https://a0.muscache.com/im/pictures/34e01545-2507-4d78-9d0c-b44ad840dc34.jpg?aki_policy=large,2015-11-08,Mission District,37.75174323831567,-122.41625259341328,1,,$299.00,1,
1093088,https://www.airbnb.com/rooms/1093088,Mission/Castro one-bedroom suite,https://a0.muscache.com/im/pictures/17127636/6ed3bd5d_original.jpg?aki_policy=large,2013-01-04,Mission District,37.76777714069825,-122.42433816649047,1,,$68.00,160,96
